    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
8:44:49,22.94,45.4,43.61,29.51,29.42,30.5,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:50,22.94,45.4,43.61,29.51,29.42,30.5,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:51,22.94,45.4,43.61,29.51,29.42,30.5,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:52,22.93,45.4,43.61,29.51,29.42,30.5,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:53,22.93,45.4,43.6,29.51,29.43,30.4,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:54,22.92,45.4,43.6,29.51,29.43,30.5,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:56,22.92,45.4,43.6,29.51,29.43,30.4,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:57,22.92,45.4,43.6,29.51,29.43,30.4,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:58,22.92,45.4,43.6,29.51,29.43,30.3,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:59,22.92,45.4,43.6,29.51,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:00,22.92,45.41,43.6,29.51,29.43,30.3,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:01,22.91,45.41,43.6,29.51,29.43,30.3,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:02,22.91,45.41,43.6,29.51,29.43,30.3,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:04,22.91,45.4,43.59,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:05,22.92,45.4,43.6,29.51,29.43,30.1,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:06,22.92,45.4,43.6,29.51,29.43,30.1,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:07,22.92,45.4,43.6,29.51,29.43,30.1,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:08,22.92,45.4,43.6,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:09,22.93,45.4,43.6,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:10,22.93,45.4,43.61,29.51,29.43,30.3,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:12,22.93,45.4,43.61,29.51,29.43,30.3,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:13,22.93,45.4,43.61,29.51,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:14,22.93,45.41,43.61,29.52,29.43,30.3,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:15,22.93,45.41,43.61,29.52,29.43,30.4,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:16,22.93,45.41,43.61,29.52,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:17,22.92,45.41,43.61,29.52,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:18,22.92,45.41,43.61,29.52,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:20,22.92,45.41,43.6,29.52,29.43,30.2,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:21,22.91,45.41,43.6,29.52,29.43,30.2,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:22,22.91,45.41,43.6,29.51,29.43,30.3,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:23,22.91,45.41,43.6,29.51,29.43,30.3,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:24,22.92,45.4,43.6,29.51,29.43,30.3,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:25,22.92,45.4,43.59,29.51,29.43,30.2,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:26,22.92,45.4,43.59,29.51,29.43,30.2,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:28,22.92,45.4,43.59,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:29,22.91,45.4,43.59,29.51,29.43,30.2,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:30,22.91,45.4,43.59,29.51,29.43,30.1,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:31,22.91,45.4,43.59,29.51,29.43,30,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:32,22.92,45.4,43.6,29.51,29.43,30,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:33,22.92,45.4,43.6,29.51,29.43,30,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:34,22.92,45.41,43.6,29.51,29.43,30,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:36,22.92,45.4,43.6,29.51,29.43,30,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:37,22.92,45.4,43.6,29.51,29.43,29.9,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:38,22.92,45.4,43.6,29.51,29.42,29.9,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:39,22.93,45.4,43.6,29.51,29.42,29.9,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:40,22.93,45.4,43.6,29.51,29.42,29.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:41,22.93,45.4,43.6,29.51,29.42,29.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:42,22.93,45.4,43.6,29.51,29.42,29.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:44,22.93,45.39,43.6,29.5,29.42,29.8,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:45,22.93,45.39,43.6,29.5,29.42,30,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:46,22.93,45.39,43.6,29.5,29.42,30,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:47,22.93,45.39,43.6,29.5,29.42,30,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:48,22.93,45.39,43.6,29.5,29.42,30.1,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:49,22.93,45.39,43.6,29.5,29.42,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:50,22.93,45.39,43.6,29.5,29.42,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:52,22.93,45.4,43.6,29.51,29.42,30.3,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:53,22.92,45.4,43.6,29.51,29.42,30.2,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:54,22.92,45.4,43.6,29.51,29.42,30.2,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:55,22.92,45.4,43.6,29.51,29.43,30.2,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:56,22.92,45.4,43.6,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:57,22.92,45.4,43.6,29.51,29.43,30.2,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:45:58,22.92,45.4,43.6,29.51,29.43,30.2,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:00,22.92,45.41,43.6,29.51,29.43,30.3,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:01,22.92,45.41,43.6,29.51,29.43,30.3,4.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:02,22.92,45.4,43.6,29.51,29.43,30.4,5,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:03,22.92,45.4,43.6,29.51,29.43,30.5,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:04,22.92,45.41,43.6,29.51,29.43,30.4,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:05,22.91,45.41,43.6,29.51,29.43,30.5,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:06,22.91,45.41,43.6,29.51,29.43,30.5,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:08,22.92,45.4,43.6,29.51,29.43,30.6,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:09,22.93,45.4,43.6,29.51,29.42,30.7,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:10,22.93,45.39,43.6,29.51,29.42,31,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:11,22.93,45.39,43.6,29.51,29.42,31,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:12,22.93,45.39,43.6,29.51,29.42,31,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:13,22.93,45.39,43.6,29.51,29.42,31.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:14,22.94,45.39,43.6,29.51,29.42,31.1,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:16,22.94,45.4,43.61,29.51,29.42,31.1,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:17,22.93,45.4,43.61,29.51,29.42,31.1,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:18,22.94,45.4,43.61,29.51,29.42,31.3,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:19,22.94,45.4,43.61,29.51,29.42,31.3,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:46:20,22.93,45.4,43.61,29.51,29.43,31.3,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
