    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal+ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
14:40:01,20.85,51.8,47.7,33.67,34.13,1.6,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:02,20.85,51.8,47.69,33.67,34.13,1.6,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:04,20.85,51.8,47.69,33.67,34.13,1.6,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:05,20.85,51.8,47.69,33.67,34.13,1.6,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:06,20.84,51.79,47.68,33.67,34.12,1.6,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:07,20.84,51.8,47.68,33.67,34.12,1.6,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:08,20.84,51.8,47.69,33.67,34.13,1.6,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:09,20.84,51.8,47.69,33.67,34.13,1.6,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:10,20.84,51.81,47.69,33.67,34.13,1.6,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:12,20.84,51.81,47.69,33.68,34.13,1.6,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:13,20.84,51.81,47.69,33.68,34.14,1.5,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:14,20.83,51.82,47.69,33.68,34.14,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:15,20.83,51.82,47.69,33.68,34.14,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:16,20.83,51.83,47.7,33.69,34.15,1.5,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:17,20.82,51.82,47.69,33.68,34.14,1.5,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:18,20.82,51.82,47.68,33.68,34.14,1.5,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:20,20.82,51.82,47.68,33.68,34.14,1.5,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:21,20.81,51.82,47.68,33.68,34.14,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:22,20.81,51.82,47.68,33.68,34.14,1.5,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:23,20.81,51.82,47.68,33.68,34.14,1.5,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:24,20.81,51.82,47.68,33.68,34.14,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:25,20.81,51.82,47.68,33.68,34.14,1.5,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:26,20.81,51.82,47.68,33.68,34.14,1.5,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:28,20.81,51.82,47.68,33.68,34.15,1.5,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:29,20.81,51.82,47.67,33.68,34.14,1.5,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:30,20.81,51.83,47.67,33.69,34.15,1.5,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:31,20.81,51.82,47.67,33.69,34.15,1.5,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:32,20.8,51.83,47.67,33.69,34.15,1.5,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:33,20.8,51.82,47.67,33.69,34.15,1.5,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:34,20.8,51.82,47.67,33.69,34.15,1.5,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:36,20.8,51.83,47.67,33.69,34.15,1.5,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:37,20.8,51.83,47.67,33.69,34.15,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:38,20.8,51.83,47.67,33.69,34.15,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:39,20.8,51.83,47.67,33.69,34.15,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:40,20.8,51.83,47.67,33.69,34.15,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:41,20.8,51.83,47.67,33.69,34.15,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:42,20.8,51.84,47.67,33.69,34.16,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:44,20.8,51.84,47.68,33.69,34.16,1.5,3.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:45,20.8,51.84,47.68,33.7,34.16,1.5,3.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:46,20.8,51.84,47.68,33.7,34.16,1.5,3.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:47,20.8,51.84,47.68,33.7,34.16,1.5,3.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:48,20.8,51.84,47.68,33.7,34.16,1.5,3.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:49,20.8,51.84,47.68,33.69,34.16,1.5,3.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:50,20.8,51.84,47.68,33.69,34.16,1.5,3.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:52,20.8,51.84,47.68,33.7,34.16,1.5,3.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:53,20.8,51.84,47.68,33.7,34.16,1.5,3.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:54,20.8,51.84,47.68,33.69,34.16,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:55,20.8,51.84,47.68,33.69,34.15,1.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:56,20.8,51.84,47.68,33.69,34.16,1.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:57,20.8,51.84,47.68,33.7,34.16,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:58,20.8,51.84,47.68,33.7,34.16,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:00,20.8,51.84,47.68,33.7,34.16,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:01,20.8,51.84,47.68,33.7,34.16,1.5,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:02,20.8,51.84,47.68,33.7,34.16,1.5,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:03,20.8,51.84,47.68,33.7,34.16,1.5,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:04,20.8,51.84,47.69,33.7,34.16,1.5,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:05,20.8,51.85,47.69,33.7,34.16,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:06,20.8,51.85,47.69,33.7,34.16,1.5,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:08,20.8,51.85,47.69,33.7,34.16,1.5,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:09,20.8,51.85,47.69,33.7,34.16,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:10,20.81,51.84,47.69,33.7,34.16,1.5,3.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:11,20.81,51.84,47.69,33.7,34.16,1.5,3.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:12,20.81,51.84,47.69,33.7,34.16,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:13,20.81,51.85,47.69,33.7,34.16,1.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:14,20.81,51.84,47.69,33.7,34.16,1.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:16,20.8,51.84,47.69,33.7,34.16,1.5,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:41:17,20.8,51.84,47.69,33.7,34.16,1.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
